Brand,Product Title,Product Link,MRP,Selling Price,Number of Rating,Star Rating,description,Link of the Images,Number of Images,List of comments,Seller Name
Pantaloons Junior,Boys Conversational Printed Cotton Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-conversational-printed-cotton-shorts/27331548/buy,,399,111,4.5,"Product Details  Navy blue conversational printed mid-rise regular shorts, has 2 pockets, drawstring closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Conversational Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27331548/2024/2/1/06a7c9f1-f854-4621-ab0b-ff158303b97d1706784575060PantaloonsJuniorBoysPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27331548/2024/2/1/35c00221-c741-4957-9132-5a5f0f49acc51706784575051PantaloonsJuniorBoysPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27331548/2024/2/1/5b3f9874-5931-4745-b207-04912e7d63af1706784575076PantaloonsJuniorBoysPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27331548/2024/2/1/c378bb2a-8c98-4472-80c7-5ebe3d1e3aa81706784575068PantaloonsJuniorBoysPrintedShorts4.jpg']",4,"['Slim fit ..n not comfortable for my kid..', 'Very good product', 'Loved it']",Westbury Holdings Pvt Ltd_Pantaloons
HELLCAT,Boys Pack Of 3 Typography Printed Cotton Shorts,http://myntra.com//shorts/trampoline/trampoline-boys-pack-of-5-typography-printed-cotton-shorts/27478546/buy,2997,599,25,3.9,"Product Details  Pack Of 3 Sea green, navy blue, rust typography printed mid-rise sports shorts, has drawstring closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Sports Shorts Closure Drawstring Print or Pattern Type Typography Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319024/2023/3/15/2ff73e00-e536-4b3d-ab14-6805a3f4e0901678866588393HELLCATBoysSeaGreenTypographyPrintedSportsShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319024/2023/3/15/769437b7-7321-402c-a10b-227d0495e1b81678866588411HELLCATBoysSeaGreenTypographyPrintedSportsShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319024/2023/3/15/2b915a72-ca7b-4f1a-89dc-29832b0dab671678866588431HELLCATBoysSeaGreenTypographyPrintedSportsShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319024/2023/3/15/3d91769a-f711-47d4-b2b7-54c2763d37d11678866588448HELLCATBoysSeaGreenTypographyPrintedSportsShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319024/2023/3/15/3c762ea9-b728-4ddd-b0a8-d53f8e3b4ae51678866588465HELLCATBoysSeaGreenTypographyPrintedSportsShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22319024/2023/3/15/3053f4de-56fa-484b-a19d-c8da258961571678866588484HELLCATBoysSeaGreenTypographyPrintedSportsShorts6.jpg']",6,"['Medium quality', 'Very good', 'Wonderfull']",Bodyglove Apparel India
Coolsters by Pantaloons,Boys Washed Denim Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-washed-denim-shorts/27331542/buy,,799,,,"Product Details  Blue washed mid-rise denim shorts, has 5 pockets, button closure Material & Care 70% Cotton, 28% Polyester, 2% Elastane Machine wash Specifications Waist Rise Mid-Rise Length Knee Length Type Denim Shorts Closure Button Print or Pattern Type Washed Fit Regular Fit Number of Pockets 5 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28010246/2024/3/4/dadaa10c-6fa6-446f-b210-299f899266791709539511735CoolstersbyPantaloonsBoysWashedDenimShortsTechnology1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28010246/2024/3/4/413cdae4-1421-46fd-b244-78e2e27980ec1709539511718CoolstersbyPantaloonsBoysWashedDenimShortsTechnology2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28010246/2024/3/4/1b35c63e-afc0-428a-8f99-c64dae07778b1709539511727CoolstersbyPantaloonsBoysWashedDenimShortsTechnology3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28010246/2024/3/4/173df317-8783-4f3d-ab8c-737df17858a11709539511753CoolstersbyPantaloonsBoysWashedDenimShortsTechnology4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28010246/2024/3/4/af161686-b450-418c-922d-28702783ff541709539511761CoolstersbyPantaloonsBoysWashedDenimShortsTechnology5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28010246/2024/3/4/6b731395-fa39-41e2-b868-335ca110b23f1709539511744CoolstersbyPantaloonsBoysWashedDenimShortsTechnology6.jpg']",6,,Westbury Holdings Pvt Ltd_Pantaloons
YK Marvel,Boys Pack Of 3 Avengers Shorts,http://myntra.com//shorts/yk+disney/yk-disney-boys-multicoloured-set-of-5-disney-sports-shorts/17782834/buy,3165,696,355,4.4,"Product Details  Pack of 3 red, blue and grey avengers printed mid-rise regular shorts, drawstring closure Size & Fit Regular Fit  Material & Care Cotton blend Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Superhero Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17590342/2023/12/30/1f2598d3-74cc-4287-bb9f-d07b09dd663d1703913418784-YK-Marvel-Boys-Pack-Of-3-Avengers-Shorts-3431703913418385-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17590342/2023/12/30/1a551562-3c37-4f78-9c8e-4f52803bd4991703913418773-YK-Marvel-Boys-Pack-Of-3-Avengers-Shorts-3431703913418385-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17590342/2023/12/30/5422f3ae-0513-4aaf-9a3d-05be95a6e9791703913418761-YK-Marvel-Boys-Pack-Of-3-Avengers-Shorts-3431703913418385-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17590342/2023/12/30/c221f101-e769-40e3-8aa9-2bcfd78cdb1f1703913418749-YK-Marvel-Boys-Pack-Of-3-Avengers-Shorts-3431703913418385-4.jpg']",4,"[""Nice one ... I've ordered one size larger ... cool for summers"", 'My son is using it from last 3 months. They still look new, no fading or stitching issues. Fit is also amazing.', 'Product very nice\n.No issue please.Size I want only 6to 7 year old size.        Thankyou.']",Home
HRX by Hrithik Roshan,U-17 Active Boys Jet Black Rapid-Dry Graphic Shorts,http://myntra.com//shorts/nike/nike-boys-sportswear-woven-shorts/23194698/buy,1299,623,144,4.6,"Product Details  Take a jump shot in style with the HRX Boy's Active Shorts. Designed with Rapid Dry and Anti Microbial technology, they fight sweat and body odor to keep you fresh throughout the game. Features Active Shorts Rapid Dry Technology wicks sweat & makes the fabric dry fast Anti-microbial technology prevents the growth of odor-causing microbes keeping you fresh & hygienic all day Mid rise waist gives secure fit Colour: Jet Black Design: Graphic print Length: Knee Length Fit: Regular fit Material & Care 100% Polyester  Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14701704/2022/4/27/c650b0b6-6def-46e4-8db3-b7a39c8f0eaa1651055684962-HRX-by-Hrithik-Roshan-U-17-Active-Boys-Jet-Black-Rapid-Dry-G-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14701704/2022/4/27/cf0d1c88-0647-4451-b206-35fe7f8541941651055684951-HRX-by-Hrithik-Roshan-U-17-Active-Boys-Jet-Black-Rapid-Dry-G-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14701704/2022/4/27/e54ccd34-41b2-4953-a1e1-8723df3585d81651055684941-HRX-by-Hrithik-Roshan-U-17-Active-Boys-Jet-Black-Rapid-Dry-G-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14701704/2022/4/27/11438ce1-c5ef-47ed-8e8b-2dc77128c9cd1651055684931-HRX-by-Hrithik-Roshan-U-17-Active-Boys-Jet-Black-Rapid-Dry-G-4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14701704/2022/4/27/4db558e3-2ec7-4fb7-89ac-6bfcb72909951651055684920-HRX-by-Hrithik-Roshan-U-17-Active-Boys-Jet-Black-Rapid-Dry-G-5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14701704/2022/4/27/5fc7651c-0014-4195-b1b3-35a39d691fe21651055684910-HRX-by-Hrithik-Roshan-U-17-Active-Boys-Jet-Black-Rapid-Dry-G-6.jpg']",6,"['Good quality', 'Stylish']",PARAS FABRICS
H&M,Boys Cotton Pull-On Shorts,http://myntra.com//shorts/h%26m/hm-boys-pure-cotton-loose-fit-denim-shorts/28991608/buy,,799,,,"Product Details  Shorts in a cotton weave with a relaxed fit through the hip and thigh. Easy pull-on, elasticated waist with a concealed drawstring, fake fly and diagonal side pockets. Material & Care 100% Cotton Machine Wash   Only non-chlorine bleach when needed Machine wash at 40deg Can be dry cleaned Tumble dry medium High iron Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Ombre Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29282244/2024/5/2/62ba8dcb-3037-4473-9afd-b00ee14730211714621760606Cottonpull-onshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29282244/2024/5/2/631da1c6-34d9-441e-9839-7b37c60f98001714621760626Cottonpull-onshorts2.jpg']",2,,H & M Hennes & Mauritz Retail Private Limited
YK Disney,Boys Pack of 5 Mickey & Friends Shorts,http://myntra.com//shorts/yk+marvel/yk-marvel-boys-pack-of-5-avengers-typography-printed-cotton-shorts/27413226/buy,2265,498,801,4.3,"Product Details  Yellow, green, red, blue and black Mickey & Friends print mid-rise shorts, slip-on closure Size & Fit Regular Fit  Material & Care Cotton blend Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Graphic Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17782836/2023/12/30/30b90563-0398-4201-8a52-523f4556591c1703913677882-YK-Disney-Boys-Pack-of-5-Mickey--Friends-Shorts-470170391367-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17782836/2023/12/30/7ca6c011-51d3-4c20-829f-509e06e873351703913677870-YK-Disney-Boys-Pack-of-5-Mickey--Friends-Shorts-470170391367-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17782836/2023/12/30/3a8f4889-e86e-44b7-9349-ff521e6885561703913677859-YK-Disney-Boys-Pack-of-5-Mickey--Friends-Shorts-470170391367-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17782836/2023/12/30/145e6ec6-a497-4323-aa3c-e699beb56c321703913677847-YK-Disney-Boys-Pack-of-5-Mickey--Friends-Shorts-470170391367-4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17782836/2023/12/30/dfd7a435-182d-43ce-9125-0643835f60041703913677836-YK-Disney-Boys-Pack-of-5-Mickey--Friends-Shorts-470170391367-5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17782836/2023/12/30/15a358cb-e55a-489a-81fb-777fe9c3195e1703913677821-YK-Disney-Boys-Pack-of-5-Mickey--Friends-Shorts-470170391367-6.jpg']",6,"['Amazing colours and fitting is perfect. I love their clothes. Very reasonable as well', ""It's comfortable and fits pretty nicely"", 'Iam so happy ??? I just love it ??']",Home
BAESD,Boys Pack Of 5 Typography Printed Pure Cotton Shorts,http://myntra.com//shorts/baesd/baesd-boys-pack-of-5-typography-printed-pure-cotton-shorts/24756116/buy,1999,459,104,4,"Product Details  Pack of 5 typography printed mid-rise regular shorts, has no pockets, slip-on closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Typography Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24756116/2023/8/31/192123fa-84ac-4447-804d-615a984b72f21693486694971BAESDBoysMulticolouredOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24756116/2023/8/31/bcb75133-c21e-4f71-bf2b-71da1f5eda151693486694910BAESDBoysMulticolouredOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24756116/2023/8/31/abd6abbf-59d1-4d38-ab6e-025d3bd1b71f1693486695013BAESDBoysMulticolouredOutdoorShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24756116/2023/8/31/cbed28ac-fcab-449a-b188-7c1ff3c14d691693486694928BAESDBoysMulticolouredOutdoorShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24756116/2023/8/31/bd3c340a-db1d-4bf9-be76-7449f2ff0d4b1693486694992BAESDBoysMulticolouredOutdoorShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24756116/2023/8/31/b7c80d63-d59f-42b7-9335-6e64dd3367de1693486694949BAESDBoysMulticolouredOutdoorShorts6.jpg']",6,"['This product is very good.\nAnd fabric quality is great.', 'Nice quality material…Best for daily usage!!', 'Material nice  and price are very good for middle people']",FASLA PRODUCTS PRIVATE LIMITED
YK Marvel,Boys Pack of 5 Printed Avengers Typography Printed Cotton Shorts,http://myntra.com//shorts/baesd/baesd-boys-pack-of-5-typography-printed-pure-cotton-shorts/24756116/buy,2265,498,48,4.7,"Product Details  Pack of 5 blue, yellow, green and black, red avenger typography printed mid-rise regular shorts, has no pockets, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Typography Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27413224/2024/2/7/276beecb-a310-4935-8cb4-ba80405e6f3f1707296921087YKMarvelBoysPrintedAvengersShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27413224/2024/2/7/f178be98-5e25-4dba-94c2-ae0e84494e0c1707296921077YKMarvelBoysPrintedAvengersShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27413224/2024/2/7/60f55542-5d20-40f1-960e-87d746194eea1707296921105YKMarvelBoysPrintedAvengersShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27413224/2024/2/7/7ad00d5b-4b0d-4acd-8f44-f3c8860f6a641707296921092YKMarvelBoysPrintedAvengersShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27413224/2024/2/7/f0f59a73-91dd-441f-9a4a-52544063d7801707296921112YKMarvelBoysPrintedAvengersShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27413224/2024/2/7/62fd4c74-f3fd-4295-8298-971721fd45d01707296921099YKMarvelBoysPrintedAvengersShorts6.jpg']",6,"['Fabric is absolutely fine and very comfortable \nPerfect quality fabric loved the vibrant colours of cloth', 'Very good quality thanks to Myntra I am very happy', 'Nice fabric and quality']",Home
Jack & Jones,Boys Blue Printed Regular Shorts,http://myntra.com//shorts/jack+%26+jones/jack--jones-boys-blue-denim-shorts/17645696/buy,999,499,16,4.6,"Product Details  Blue abstract printed mid-rise regular shorts, has 2 pockets, Slip-On closure Size & Fit Regular Fit  Material & Care Cotton Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Abstract Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17824230/2022/4/8/5271faa4-476e-48f5-8690-c9cbf36ffbf31649423321385JackJonesBoysBluePrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17824230/2022/4/8/f89debe6-05a0-44b8-826f-2525f7bfb5731649423321410JackJonesBoysBluePrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17824230/2022/4/8/482a8147-0e23-4cb1-b11e-774ab51b505b1649423321363JackJonesBoysBluePrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17824230/2022/4/8/dfb7728a-c1ed-4685-a303-a8487628e2a11649423321376JackJonesBoysBluePrintedShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17824230/2022/4/8/b4b4029c-beed-42a5-b09b-94b01fd9b4b91649423321397JackJonesBoysBluePrintedShorts5.jpg']",5,['Mantra always deliver original product'],Kapsons Retail Pvt. Ltd.
H&M,Boys Cotton Chino Shorts,http://myntra.com//shorts/h%26m/hm-boys-cotton-chino-shorts/28991630/buy,,799,167,4.7,"Product Details  Shorts in soft cotton twill with adjustable elastication at the waist, a fake fly and button, side pockets and a fake back pocket. Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Button Print or Pattern Type Solid Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28991600/2024/4/17/cf8262a4-acc1-4101-bb81-c389de16608a1713355213065Cottonchinoshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28991600/2024/4/17/8665b531-6429-46f3-a550-febb7362189b1713355213073Cottonchinoshorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28991600/2024/4/17/26bff7e0-1045-41dd-a1ad-aafeb98907b81713355213082Cottonchinoshorts3.jpg']",3,"['Very softly shorts for my child ..go ahead nd purchase it', 'Nice colour, nice material', 'Very nice']",H & M Hennes & Mauritz Retail Private Limited
HELLCAT,Boys Printed Mid-Rise Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-typography-printed-cotton-shorts/28485050/buy,1299,298,10,3.6,"Product Details  Blue graphic printed mid-rise regular shorts,  has 2 pockets, drawstring closure Material & Care Cotton Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Graphic Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22474408/2023/3/23/1d04bd52-1817-4a33-9965-0d15c550f75d1679559538864HELLCATBoysBluePrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22474408/2023/3/23/5d659ffc-ac3b-4173-8bf6-effc29b39d991679559538836HELLCATBoysBluePrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22474408/2023/3/23/0542978e-bbcb-4ae4-a679-c727ebdc54171679559538851HELLCATBoysBluePrintedShorts3.jpg']",3,"['Good', '']",Bodyglove Apparel India
BONKIDS,Boys Grey & Red Printed Mickey Mouse Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-conversational-printed-cotton-shorts/27331548/buy,1199,399,115,4.7,"Product Details  Grey conversational printed mid-rise regular shorts,  has 2 pockets, drawstring closure Size & Fit Regular Fit  Material & Care Cotton Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Conversational Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17964354/2022/6/23/00791061-76c5-40fe-9be4-1d5346a967521655974495312BONKIDSBoysGreyRedPrintedMickeyMouseShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17964354/2022/6/23/bef952aa-c339-47be-afc1-140f42c5b0d11655974495320BONKIDSBoysGreyRedPrintedMickeyMouseShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17964354/2022/6/23/8e1ff520-37d3-4593-8cf4-ed71a815b9e11655974495328BONKIDSBoysGreyRedPrintedMickeyMouseShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17964354/2022/6/23/0f5938fa-8fc8-47af-80a0-8aa1fa2689751655974495336BONKIDSBoysGreyRedPrintedMickeyMouseShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17964354/2022/6/23/ef3cda32-0c30-4328-9848-a37892d3a14e1655974495345BONKIDSBoysGreyRedPrintedMickeyMouseShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17964354/2022/6/23/d30b91ff-f159-4fbc-9bef-cf5d7127696b1655974495353BONKIDSBoysGreyRedPrintedMickeyMouseShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17964354/2022/6/23/62b22aeb-219f-4b37-876e-8621f1a032c71655974495365BONKIDSBoysGreyRedPrintedMickeyMouseShorts7.jpg']",7,"['Wow .....good quality... comfortable... thank you Myntra ...', 'Liked the product', 'Perfect shorts']",Lepus Brand Technologies Private Limited
Jack & Jones,Boys White Stripes Printed Shorts,http://myntra.com//shorts/jack+%26+jones/jack--jones-boys-navy-blue-cotton-shorts/16903422/buy,999,499,10,4.3,"Product Details  White stripes printed mid-rise regular shorts, has 2 pockets, drawstring closure Size & Fit Regular Fit  Material & Care Machine wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Striped Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17824232/2022/4/8/9e54595b-3860-4ae8-869f-00442d02072e1649423400234JackJonesBoysWhitePrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17824232/2022/4/8/818c392b-40f3-470d-acbf-c1c436b79a541649423400223JackJonesBoysWhitePrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17824232/2022/4/8/83f5beff-69d4-467a-94f5-4789332cd58a1649423400210JackJonesBoysWhitePrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17824232/2022/4/8/67049108-eeed-4a91-943d-2aa8d71067381649423400201JackJonesBoysWhitePrintedShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17824232/2022/4/8/c404b9cc-de0c-4673-b5a4-22c76d9feda61649423400246JackJonesBoysWhitePrintedShorts5.jpg']",5,['Good'],Kapsons Retail Pvt. Ltd.
F&S,Boys Printed High Rise Rapid Dry Outdoor Sports Shorts,http://myntra.com//shorts/bodycare+kids/bodycare-kids-boys-abstract-printed-mid-rise-sports-shorts/22888530/buy,699,391,13,4.1,"Product Details  Green abstract printed high-rise outdoor sports shorts, has 2 pockets, drawstring closure engineered with rapid-dry technology Material & Care 94% Polyester 6% Lycra Machine Wash Specifications Waist Rise High-Rise Length Below Knee Type Sports Shorts Closure Drawstring Print or Pattern Type Abstract Fit Regular Fit Number of Pockets 2 Occasion Sports See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25830592/2023/11/9/8530c4eb-22fc-4b34-a97c-e05238d6bc601699532874362FSBoysGreenPrintedHigh-RiseOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25830592/2023/11/9/ba5d932a-7c6f-459c-9895-cef1061155a11699532874369FSBoysGreenPrintedHigh-RiseOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25830592/2023/11/9/5ca02d90-ce75-465e-a70f-76a8f9a400d71699532874376FSBoysGreenPrintedHigh-RiseOutdoorShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25830592/2023/11/9/b0bfd226-2e29-4fd3-8313-474bf8ea117e1699532874383FSBoysGreenPrintedHigh-RiseOutdoorShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25830592/2023/11/9/c467e2f2-72cd-4495-b311-c26d88ee17991699532874351FSBoysGreenPrintedHigh-RiseOutdoorShorts5.jpg']",5,,NARENDRA EMPORIS LIMITED
YK Disney,Boys Pack Of 5 Disney Printed Shorts,http://myntra.com//shorts/yk+disney/yk-disney-boys-pack-of-5-disney-printed-shorts/22263158/buy,2395,526,793,4.3,"Product Details  Pack of 5 blue, yellow, green, red & black disney humour and comic printed mid-rise regular shorts, slip-on closure Material & Care Cotton Blend Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Humour and Comic Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22263158/2023/12/30/3fda6057-69e7-4267-91f6-11e72a484e631703914450801-YK-Disney-Boys-Pack-Of-5-Disney-Printed-Shorts-2971703914450-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22263158/2023/12/30/12cdd1d7-21d7-4529-9668-95a4fb7ddad51703914450788-YK-Disney-Boys-Pack-Of-5-Disney-Printed-Shorts-2971703914450-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22263158/2023/12/30/3c4e85f5-c35b-4310-9b93-a9d6dd0164ef1703914450775-YK-Disney-Boys-Pack-Of-5-Disney-Printed-Shorts-2971703914450-3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22263158/2023/12/30/27b314e2-f39d-475f-b97b-a2d57ca4e12d1703914450763-YK-Disney-Boys-Pack-Of-5-Disney-Printed-Shorts-2971703914450-4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22263158/2023/12/30/8f5f2b42-4b00-428d-afc5-5fe397902a8b1703914450751-YK-Disney-Boys-Pack-Of-5-Disney-Printed-Shorts-2971703914450-5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22263158/2023/12/30/52ffd8ac-612a-4710-bf72-7ec4b0edce0c1703914450737-YK-Disney-Boys-Pack-Of-5-Disney-Printed-Shorts-2971703914450-6.jpg']",6,"['Iam so happy ??? I just love it ??', 'Amazing colours and fitting is perfect. I love their clothes. Very reasonable as well', ""It's comfortable and fits pretty nicely""]",Home
